Course,Section,Time,Location,Enrollment,Classification,Day
CENG 1600,L1,WeFr 03:00PM - 04:20PM,Lecture Theater B (317),184,Lecture Theater B,WeFr
CENG 1700,L1,MoWe 10:30AM - 11:50AM,Lecture Theater J (300),59,Lecture Theater J,MoWe
CENG 1700,T1,Fr 11:00AM - 11:50AM,Lecture Theater C (211),59,Lecture Theater C,Fr
CENG 2110,L1,Mo 04:30PM - 05:50PM,"Rm 2504, Lift 25-26 (84)",32,Lift 25-26,Mo
CENG 2110,L1,Fr 12:00PM - 01:20PM,"Rm 2504, Lift 25-26 (84)",32,Lift 25-26,Fr
CENG 2110,T1,Mo 06:00PM - 06:50PM,"Rm 2504, Lift 25-26 (84)",32,Lift 25-26,Mo
CENG 2310,L1,Mo 01:30PM - 02:50PM,"Rm 4402, Lift 17-18",22,Lift 17-18,Mo
CENG 2310,L1,Fr 09:00AM - 10:20AM,"Rm 4402, Lift 17-18",22,Lift 17-18,Fr
CENG 2310,T1,Mo 03:00PM - 03:50PM,"Rm 4402, Lift 17-18",22,Lift 17-18,Mo
CENG 3210,L1,TuTh 01:30PM - 02:50PM,"Rm 1410, Lift 25-26 (60)",32,Lift 25-26,TuTh
CENG 3210,T1,Fr 01:30PM - 02:20PM,"Rm 2404, Lift 17-18 (81)",32,Lift 17-18,Fr
CENG 3220,L1,TuTh 03:00PM - 04:20PM,"Rm 6602, Lift 31-32 (60)",41,Lift 31-32,TuTh
CENG 3220,T1,Th 06:00PM - 06:50PM,"Rm 2302, Lift 17-18 (74)",41,Lift 17-18,Th
CENG 3230,L1,TuTh 10:30AM - 11:50AM,"Rm 4502, Lift 25-26 (60)",43,Lift 25-26,TuTh
CENG 3230,T1,Th 09:30AM - 10:20AM,"Rm 6602, Lift 31-32 (60)",43,Lift 31-32,Th
CENG 3300,L1,Mo 04:30PM - 05:50PM,"Rm 1410, Lift 25-26 (60)",12,Lift 25-26,Mo
CENG 3300,L1,Fr 12:00PM - 01:20PM,"Rm 1410, Lift 25-26 (60)",12,Lift 25-26,Fr
CENG 3300,T1,Mo 06:00PM - 06:50PM,"Rm 1410, Lift 25-26 (60)",12,Lift 25-26,Mo
CENG 4020,T1,Tu 12:00PM - 01:20PM,"G010, CYT Bldg (140)",20,CYT Bldg,Tu
